School Name,Board,State,City/District,Email ID,Contact Number
Navodaya Vidyalaya Branch 41,IB,Nagaland,District 454,contact@navodayavidyalayabranch41.edu.in,024-5605302
Global High School Branch 88,ICSE,Odisha,District 474,contact@globalhighschoolbranch88.edu.in,071-9657245
Navodaya Secondary School Branch 53,IB,Punjab,District 654,contact@navodayasecondaryschoolbranch53.edu.in,016-1872867
Carmel Secondary School Branch 34,CBSE,Rajasthan,District 113,contact@carmelsecondaryschoolbranch34.edu.in,072-5023309
St. Joseph's Convent Branch 3,IGCSE,Sikkim,District 541,contact@stjosephsconventbranch3.edu.in,090-2528389
Vivekananda Primary School Branch 6,ICSE,Tamil Nadu,District 324,contact@vivekanandaprimaryschoolbranch6.edu.in,028-6721423
New Era Academy Branch 30,ICSE,Telangana,District 248,contact@neweraacademybranch30.edu.in,086-7612259
Saraswati Secondary School Branch 26,CBSE,Tripura,District 42,contact@saraswatisecondaryschoolbranch26.edu.in,030-1379859
New Era Convent Branch 16,State Board,Uttar Pradesh,District 377,contact@neweraconventbranch16.edu.in,033-2480248
St. Joseph's Primary School Branch 9,NIOS,Uttarakhand,District 375,contact@stjosephsprimaryschoolbranch9.edu.in,021-6954677
Tagore Primary School Branch 7,IGCSE,West Bengal,District 220,contact@tagoreprimaryschoolbranch7.edu.in,090-3538466
Adarsh Primary School Branch 83,ICSE,Andaman and Nicobar Islands,District 137,contact@adarshprimaryschoolbranch83.edu.in,066-6162412
Tagore Primary School Branch 85,State Board,Chandigarh,District 581,contact@tagoreprimaryschoolbranch85.edu.in,099-4963998
Adarsh International Branch 59,IB,Dadra and Nagar Haveli,District 4,contact@adarshinternationalbranch59.edu.in,062-5830883
Navodaya Public School Branch 54,CBSE,Lakshadweep,District 696,contact@navodayapublicschoolbranch54.edu.in,016-1338514
New Era Academy Branch 65,CBSE,Delhi,District 196,contact@neweraacademybranch65.edu.in,048-5230975
Saraswati High School Branch 57,IB,Puducherry,District 291,contact@saraswatihighschoolbranch57.edu.in,032-8227416
St. Joseph's Public School Branch 46,NIOS,Ladakh,District 143,contact@stjosephspublicschoolbranch46.edu.in,083-5977939
KV Primary School Branch 55,NIOS,Jammu and Kashmir,District 11,contact@kvprimaryschoolbranch55.edu.in,085-9551230
Model Academy Branch 60,CBSE,Andhra Pradesh,District 237,contact@modelacademybranch60.edu.in,062-8573713
Adarsh High School Branch 53,State Board,Arunachal Pradesh,District 473,contact@adarshhighschoolbranch53.edu.in,058-8509247
Saraswati International Branch 78,State Board,Assam,District 139,contact@saraswatiinternationalbranch78.edu.in,042-2256776
Greenwood Secondary School Branch 20,IB,Bihar,District 339,contact@greenwoodsecondaryschoolbranch20.edu.in,036-9234734
Adarsh Public School Branch 3,ICSE,Chhattisgarh,District 365,contact@adarshpublicschoolbranch3.edu.in,036-4063174
Model Primary School Branch 57,IGCSE,Goa,District 28,contact@modelprimaryschoolbranch57.edu.in,099-4640024
Vidya Mandir Secondary School Branch 25,NIOS,Gujarat,District 162,contact@vidyamandirsecondaryschoolbranch25.edu.in,072-6600949
St. Joseph's Primary School Branch 68,IGCSE,Haryana,District 595,contact@stjosephsprimaryschoolbranch68.edu.in,074-8250875
Vivekananda Vidyalaya Branch 61,State Board,Himachal Pradesh,District 700,contact@vivekanandavidyalayabranch61.edu.in,048-7884417
Adarsh High School Branch 30,ICSE,Jharkhand,District 602,contact@adarshhighschoolbranch30.edu.in,046-5043398
Model International Branch 48,IB,Karnataka,District 501,contact@modelinternationalbranch48.edu.in,017-3445750
Adarsh Public School Branch 64,State Board,Kerala,District 634,contact@adarshpublicschoolbranch64.edu.in,015-1656954
Carmel Vidyalaya Branch 48,State Board,Madhya Pradesh,District 90,contact@carmelvidyalayabranch48.edu.in,085-3836289
Navodaya Vidyalaya Branch 76,NIOS,Maharashtra,District 35,contact@navodayavidyalayabranch76.edu.in,028-9693979
Heritage Public School Branch 61,IGCSE,Manipur,District 48,contact@heritagepublicschoolbranch61.edu.in,065-6164554
Army Convent Branch 64,IB,Meghalaya,District 112,contact@armyconventbranch64.edu.in,069-4621709
Model Secondary School Branch 17,IB,Mizoram,District 481,contact@modelsecondaryschoolbranch17.edu.in,028-4251854
Global High School Branch 9,State Board,Nagaland,District 400,contact@globalhighschoolbranch9.edu.in,083-7724638
Navodaya Public School Branch 2,ICSE,Odisha,District 364,contact@navodayapublicschoolbranch2.edu.in,091-4669824
Heritage International Branch 16,State Board,Punjab,District 481,contact@heritageinternationalbranch16.edu.in,070-1942727
Government Convent Branch 15,NIOS,Rajasthan,District 449,contact@governmentconventbranch15.edu.in,079-6428661
Greenwood Convent Branch 7,IB,Sikkim,District 8,contact@greenwoodconventbranch7.edu.in,013-7346760
Army International Branch 53,IB,Tamil Nadu,District 533,contact@armyinternationalbranch53.edu.in,014-5161934
Global High School Branch 66,IB,Telangana,District 691,contact@globalhighschoolbranch66.edu.in,036-3205824
Tagore Primary School Branch 59,IGCSE,Tripura,District 373,contact@tagoreprimaryschoolbranch59.edu.in,028-2314710
Tagore Primary School Branch 3,CBSE,Uttar Pradesh,District 304,contact@tagoreprimaryschoolbranch3.edu.in,063-2925434
KV Secondary School Branch 67,ICSE,Uttarakhand,District 405,contact@kvsecondaryschoolbranch67.edu.in,084-2902827
Adarsh Convent Branch 44,State Board,West Bengal,District 149,contact@adarshconventbranch44.edu.in,014-6615128
Navodaya Vidyalaya Branch 35,IB,Andaman and Nicobar Islands,District 159,contact@navodayavidyalayabranch35.edu.in,013-9342336
Army Vidyalaya Branch 24,IGCSE,Chandigarh,District 679,contact@armyvidyalayabranch24.edu.in,072-7151487
Army Secondary School Branch 88,ICSE,Dadra and Nagar Haveli,District 26,contact@armysecondaryschoolbranch88.edu.in,098-3695484
St. Joseph's Convent Branch 41,NIOS,Lakshadweep,District 388,contact@stjosephsconventbranch41.edu.in,036-1738638
Adarsh Academy Branch 35,IB,Delhi,District 581,contact@adarshacademybranch35.edu.in,026-3973500
Carmel Academy Branch 42,CBSE,Puducherry,District 492,contact@carmelacademybranch42.edu.in,037-8570540
Adarsh Academy Branch 32,State Board,Ladakh,District 471,contact@adarshacademybranch32.edu.in,082-7275347
Greenwood Vidyalaya Branch 91,IB,Jammu and Kashmir,District 663,contact@greenwoodvidyalayabranch91.edu.in,033-7015779
Bharatiya Primary School Branch 56,State Board,Andhra Pradesh,District 534,contact@bharatiyaprimaryschoolbranch56.edu.in,041-1157665
Greenwood Secondary School Branch 91,IB,Arunachal Pradesh,District 189,contact@greenwoodsecondaryschoolbranch91.edu.in,036-4980477
Carmel Public School Branch 47,ICSE,Assam,District 686,contact@carmelpublicschoolbranch47.edu.in,067-1086452
Global High School Branch 58,IGCSE,Bihar,District 180,contact@globalhighschoolbranch58.edu.in,090-4185602
Greenwood Convent Branch 29,IB,Chhattisgarh,District 245,contact@greenwoodconventbranch29.edu.in,061-7476981
Tagore Secondary School Branch 79,IGCSE,Goa,District 127,contact@tagoresecondaryschoolbranch79.edu.in,051-4628971
Model Primary School Branch 61,NIOS,Gujarat,District 679,contact@modelprimaryschoolbranch61.edu.in,048-4092158
Model Public School Branch 98,ICSE,Haryana,District 567,contact@modelpublicschoolbranch98.edu.in,059-3077566
St. Joseph's International Branch 65,State Board,Himachal Pradesh,District 317,contact@stjosephsinternationalbranch65.edu.in,044-3420950
Model Public School Branch 62,ICSE,Jharkhand,District 569,contact@modelpublicschoolbranch62.edu.in,059-4298513
New Era Public School Branch 53,IB,Karnataka,District 299,contact@newerapublicschoolbranch53.edu.in,012-6830321
New Era High School Branch 48,IGCSE,Kerala,District 536,contact@newerahighschoolbranch48.edu.in,032-5412599
Army Secondary School Branch 63,CBSE,Madhya Pradesh,District 623,contact@armysecondaryschoolbranch63.edu.in,023-2836062
Heritage Vidyalaya Branch 86,NIOS,Maharashtra,District 2,contact@heritagevidyalayabranch86.edu.in,081-2726246
Tagore Public School Branch 74,State Board,Manipur,District 575,contact@tagorepublicschoolbranch74.edu.in,026-6539148
Bharatiya Public School Branch 67,IGCSE,Meghalaya,District 176,contact@bharatiyapublicschoolbranch67.edu.in,026-9280488
Saraswati Vidyalaya Branch 59,ICSE,Mizoram,District 135,contact@saraswatividyalayabranch59.edu.in,056-9767685
New Era Secondary School Branch 93,NIOS,Nagaland,District 413,contact@newerasecondaryschoolbranch93.edu.in,096-7212518
Vivekananda Academy Branch 4,ICSE,Odisha,District 316,contact@vivekanandaacademybranch4.edu.in,096-3658691
Saraswati Academy Branch 14,IB,Punjab,District 88,contact@saraswatiacademybranch14.edu.in,099-5673409
Vidya Mandir High School Branch 63,CBSE,Rajasthan,District 297,contact@vidyamandirhighschoolbranch63.edu.in,037-2330514
KV International Branch 90,CBSE,Sikkim,District 255,contact@kvinternationalbranch90.edu.in,054-6315322
Greenwood International Branch 48,CBSE,Tamil Nadu,District 40,contact@greenwoodinternationalbranch48.edu.in,033-1231246
KV Vidyalaya Branch 98,IB,Telangana,District 683,contact@kvvidyalayabranch98.edu.in,073-1368925
Carmel High School Branch 60,State Board,Tripura,District 664,contact@carmelhighschoolbranch60.edu.in,028-2947735
Saraswati International Branch 49,CBSE,Uttar Pradesh,District 644,contact@saraswatiinternationalbranch49.edu.in,075-3886422
Government Secondary School Branch 53,IGCSE,Uttarakhand,District 311,contact@governmentsecondaryschoolbranch53.edu.in,019-5239050
Tagore Public School Branch 25,IB,West Bengal,District 485,contact@tagorepublicschoolbranch25.edu.in,051-9794384
KV Academy Branch 51,CBSE,Andaman and Nicobar Islands,District 291,contact@kvacademybranch51.edu.in,063-1756256
Vivekananda High School Branch 82,IB,Chandigarh,District 1,contact@vivekanandahighschoolbranch82.edu.in,043-3475274
Bharatiya Convent Branch 59,IGCSE,Dadra and Nagar Haveli,District 574,contact@bharatiyaconventbranch59.edu.in,033-9290391
Bharatiya Convent Branch 7,CBSE,Lakshadweep,District 382,contact@bharatiyaconventbranch7.edu.in,077-9543960
Navodaya Public School Branch 60,State Board,Delhi,District 476,contact@navodayapublicschoolbranch60.edu.in,031-1735435
Adarsh Secondary School Branch 62,ICSE,Puducherry,District 404,contact@adarshsecondaryschoolbranch62.edu.in,087-5157895
Government Academy Branch 75,NIOS,Ladakh,District 485,contact@governmentacademybranch75.edu.in,096-1423576
Heritage Public School Branch 99,CBSE,Jammu and Kashmir,District 478,contact@heritagepublicschoolbranch99.edu.in,043-6802258
Navodaya Primary School Branch 44,State Board,Andhra Pradesh,District 181,contact@navodayaprimaryschoolbranch44.edu.in,085-3996976
St. Joseph's Convent Branch 1,State Board,Arunachal Pradesh,District 536,contact@stjosephsconventbranch1.edu.in,037-2033998
Army Secondary School Branch 42,CBSE,Assam,District 695,contact@armysecondaryschoolbranch42.edu.in,080-8014676
Army Secondary School Branch 56,NIOS,Bihar,District 648,contact@armysecondaryschoolbranch56.edu.in,079-8237024
Government Primary School Branch 76,CBSE,Chhattisgarh,District 464,contact@governmentprimaryschoolbranch76.edu.in,032-3127716
Government Vidyalaya Branch 87,IGCSE,Goa,District 168,contact@governmentvidyalayabranch87.edu.in,098-9718841
Carmel Public School Branch 67,NIOS,Gujarat,District 169,contact@carmelpublicschoolbranch67.edu.in,027-9562335
Vidya Mandir Secondary School Branch 37,IGCSE,Haryana,District 563,contact@vidyamandirsecondaryschoolbranch37.edu.in,059-9676317
Model Secondary School Branch 57,CBSE,Himachal Pradesh,District 374,contact@modelsecondaryschoolbranch57.edu.in,016-6989115
Vivekananda High School Branch 14,CBSE,Jharkhand,District 223,contact@vivekanandahighschoolbranch14.edu.in,083-3247189
KV Primary School Branch 83,IGCSE,Karnataka,District 433,contact@kvprimaryschoolbranch83.edu.in,036-8713537
St. Joseph's Secondary School Branch 72,ICSE,Kerala,District 234,contact@stjosephssecondaryschoolbranch72.edu.in,065-8604595
New Era Academy Branch 15,State Board,Madhya Pradesh,District 93,contact@neweraacademybranch15.edu.in,033-4885254
Army International Branch 91,ICSE,Maharashtra,District 424,contact@armyinternationalbranch91.edu.in,095-9789386
Bharatiya International Branch 99,IB,Manipur,District 411,contact@bharatiyainternationalbranch99.edu.in,065-6999367
Saraswati Vidyalaya Branch 83,CBSE,Meghalaya,District 328,contact@saraswatividyalayabranch83.edu.in,054-4083798
Greenwood Secondary School Branch 3,IGCSE,Mizoram,District 108,contact@greenwoodsecondaryschoolbranch3.edu.in,066-7306965
Adarsh Vidyalaya Branch 96,IB,Nagaland,District 615,contact@adarshvidyalayabranch96.edu.in,078-3669176
KV Academy Branch 40,ICSE,Odisha,District 328,contact@kvacademybranch40.edu.in,052-7669473
New Era Primary School Branch 19,IGCSE,Punjab,District 172,contact@neweraprimaryschoolbranch19.edu.in,031-2225384
KV International Branch 74,IB,Rajasthan,District 638,contact@kvinternationalbranch74.edu.in,027-3589713
New Era High School Branch 29,NIOS,Sikkim,District 171,contact@newerahighschoolbranch29.edu.in,063-6730740
Government Primary School Branch 40,State Board,Tamil Nadu,District 543,contact@governmentprimaryschoolbranch40.edu.in,039-1072993
Saraswati Primary School Branch 18,IGCSE,Telangana,District 525,contact@saraswatiprimaryschoolbranch18.edu.in,061-9521533
Global International Branch 41,ICSE,Tripura,District 113,contact@globalinternationalbranch41.edu.in,047-6226471
Tagore Academy Branch 64,ICSE,Uttar Pradesh,District 224,contact@tagoreacademybranch64.edu.in,081-1791127
Tagore Public School Branch 18,ICSE,Uttarakhand,District 616,contact@tagorepublicschoolbranch18.edu.in,051-7654762
Vidya Mandir Vidyalaya Branch 54,ICSE,West Bengal,District 366,contact@vidyamandirvidyalayabranch54.edu.in,017-1936571
Government International Branch 80,ICSE,Andaman and Nicobar Islands,District 273,contact@governmentinternationalbranch80.edu.in,015-8900132
Vivekananda Secondary School Branch 34,State Board,Chandigarh,District 96,contact@vivekanandasecondaryschoolbranch34.edu.in,093-9430944
Saraswati Academy Branch 37,ICSE,Dadra and Nagar Haveli,District 696,contact@saraswatiacademybranch37.edu.in,053-1887438
Saraswati Convent Branch 7,ICSE,Lakshadweep,District 343,contact@saraswaticonventbranch7.edu.in,097-5634289
Greenwood International Branch 7,NIOS,Delhi,District 640,contact@greenwoodinternationalbranch7.edu.in,066-5179173
Vidya Mandir Primary School Branch 87,IB,Puducherry,District 20,contact@vidyamandirprimaryschoolbranch87.edu.in,028-2965065
Heritage Vidyalaya Branch 26,IB,Ladakh,District 153,contact@heritagevidyalayabranch26.edu.in,015-2779983
Navodaya Public School Branch 62,IGCSE,Jammu and Kashmir,District 129,contact@navodayapublicschoolbranch62.edu.in,018-7876935
Tagore Secondary School Branch 50,State Board,Andhra Pradesh,District 385,contact@tagoresecondaryschoolbranch50.edu.in,018-9257180
New Era Convent Branch 8,ICSE,Arunachal Pradesh,District 334,contact@neweraconventbranch8.edu.in,033-5907849
Tagore Primary School Branch 88,State Board,Assam,District 452,contact@tagoreprimaryschoolbranch88.edu.in,061-5419068
St. Joseph's High School Branch 90,State Board,Bihar,District 176,contact@stjosephshighschoolbranch90.edu.in,035-9294441
St. Joseph's Academy Branch 19,NIOS,Chhattisgarh,District 35,contact@stjosephsacademybranch19.edu.in,098-2114593
Vivekananda Primary School Branch 79,State Board,Goa,District 341,contact@vivekanandaprimaryschoolbranch79.edu.in,084-1228490
Adarsh Academy Branch 10,IGCSE,Gujarat,District 694,contact@adarshacademybranch10.edu.in,018-5332835
Heritage International Branch 100,CBSE,Haryana,District 639,contact@heritageinternationalbranch100.edu.in,082-2084562
Vivekananda High School Branch 70,NIOS,Himachal Pradesh,District 679,contact@vivekanandahighschoolbranch70.edu.in,015-5311290
Bharatiya High School Branch 79,ICSE,Jharkhand,District 520,contact@bharatiyahighschoolbranch79.edu.in,032-6513783
Government High School Branch 21,IGCSE,Karnataka,District 589,contact@governmenthighschoolbranch21.edu.in,090-2517955
Vivekananda High School Branch 51,CBSE,Kerala,District 551,contact@vivekanandahighschoolbranch51.edu.in,074-2141673
KV Academy Branch 53,ICSE,Madhya Pradesh,District 69,contact@kvacademybranch53.edu.in,021-2516057
Saraswati Vidyalaya Branch 22,NIOS,Maharashtra,District 23,contact@saraswatividyalayabranch22.edu.in,073-8226847
Model Convent Branch 57,State Board,Manipur,District 266,contact@modelconventbranch57.edu.in,036-4535375
Carmel Academy Branch 100,ICSE,Meghalaya,District 523,contact@carmelacademybranch100.edu.in,051-8155656
Army International Branch 94,NIOS,Mizoram,District 255,contact@armyinternationalbranch94.edu.in,084-4147104
Carmel Public School Branch 91,ICSE,Nagaland,District 437,contact@carmelpublicschoolbranch91.edu.in,096-6286397
St. Joseph's Academy Branch 46,IB,Odisha,District 493,contact@stjosephsacademybranch46.edu.in,096-8359000
Navodaya High School Branch 40,IGCSE,Punjab,District 197,contact@navodayahighschoolbranch40.edu.in,034-8592198
Global Primary School Branch 87,IGCSE,Rajasthan,District 480,contact@globalprimaryschoolbranch87.edu.in,070-6917429
Vivekananda High School Branch 64,NIOS,Sikkim,District 128,contact@vivekanandahighschoolbranch64.edu.in,046-9033079
St. Joseph's Primary School Branch 54,State Board,Tamil Nadu,District 313,contact@stjosephsprimaryschoolbranch54.edu.in,025-4578135
St. Joseph's Academy Branch 16,CBSE,Telangana,District 55,contact@stjosephsacademybranch16.edu.in,095-9847360
Saraswati High School Branch 60,IB,Tripura,District 346,contact@saraswatihighschoolbranch60.edu.in,058-7622396
Heritage High School Branch 12,NIOS,Uttar Pradesh,District 626,contact@heritagehighschoolbranch12.edu.in,041-3292645
Adarsh Secondary School Branch 16,IB,Uttarakhand,District 242,contact@adarshsecondaryschoolbranch16.edu.in,032-9220171
Model Vidyalaya Branch 65,ICSE,West Bengal,District 444,contact@modelvidyalayabranch65.edu.in,048-5964830
New Era Public School Branch 77,IB,Andaman and Nicobar Islands,District 576,contact@newerapublicschoolbranch77.edu.in,038-8727497
Carmel Primary School Branch 57,NIOS,Chandigarh,District 574,contact@carmelprimaryschoolbranch57.edu.in,096-9465972
Bharatiya Vidyalaya Branch 54,State Board,Dadra and Nagar Haveli,District 164,contact@bharatiyavidyalayabranch54.edu.in,064-4993580
Saraswati Academy Branch 44,NIOS,Lakshadweep,District 421,contact@saraswatiacademybranch44.edu.in,044-4382400
New Era International Branch 20,IGCSE,Delhi,District 424,contact@newerainternationalbranch20.edu.in,094-4694220
St. Joseph's Academy Branch 93,IGCSE,Puducherry,District 113,contact@stjosephsacademybranch93.edu.in,010-1965287
KV Vidyalaya Branch 79,State Board,Ladakh,District 700,contact@kvvidyalayabranch79.edu.in,082-3370381
St. Joseph's Convent Branch 21,CBSE,Jammu and Kashmir,District 650,contact@stjosephsconventbranch21.edu.in,089-9672352
Army Secondary School Branch 94,IB,Andhra Pradesh,District 628,contact@armysecondaryschoolbranch94.edu.in,025-2660575
Army Convent Branch 67,IGCSE,Arunachal Pradesh,District 367,contact@armyconventbranch67.edu.in,014-6489975
Tagore Secondary School Branch 4,ICSE,Assam,District 101,contact@tagoresecondaryschoolbranch4.edu.in,032-5844808
Vidya Mandir Academy Branch 5,CBSE,Bihar,District 649,contact@vidyamandiracademybranch5.edu.in,063-7926043
New Era Public School Branch 9,CBSE,Chhattisgarh,District 639,contact@newerapublicschoolbranch9.edu.in,085-9173957
Bharatiya Vidyalaya Branch 29,ICSE,Goa,District 582,contact@bharatiyavidyalayabranch29.edu.in,075-3608462
Tagore Convent Branch 70,IGCSE,Gujarat,District 215,contact@tagoreconventbranch70.edu.in,073-7507136
St. Joseph's Primary School Branch 64,CBSE,Haryana,District 668,contact@stjosephsprimaryschoolbranch64.edu.in,063-3544845
St. Joseph's Academy Branch 64,CBSE,Himachal Pradesh,District 408,contact@stjosephsacademybranch64.edu.in,053-1908838
Greenwood International Branch 23,CBSE,Jharkhand,District 249,contact@greenwoodinternationalbranch23.edu.in,099-2845709
Model Convent Branch 5,IGCSE,Karnataka,District 628,contact@modelconventbranch5.edu.in,052-5909066
Vidya Mandir Secondary School Branch 12,IGCSE,Kerala,District 57,contact@vidyamandirsecondaryschoolbranch12.edu.in,045-4481189
Army Vidyalaya Branch 89,IGCSE,Madhya Pradesh,District 379,contact@armyvidyalayabranch89.edu.in,068-3659573
New Era Secondary School Branch 76,IB,Maharashtra,District 322,contact@newerasecondaryschoolbranch76.edu.in,089-8871243
Heritage Primary School Branch 62,CBSE,Manipur,District 99,contact@heritageprimaryschoolbranch62.edu.in,043-6639390
Bharatiya Convent Branch 41,IGCSE,Meghalaya,District 696,contact@bharatiyaconventbranch41.edu.in,073-3276773
Army Primary School Branch 77,IB,Mizoram,District 624,contact@armyprimaryschoolbranch77.edu.in,095-5822602
Greenwood International Branch 8,NIOS,Nagaland,District 324,contact@greenwoodinternationalbranch8.edu.in,073-1742969
Greenwood Convent Branch 64,IGCSE,Odisha,District 228,contact@greenwoodconventbranch64.edu.in,059-7911970
Government International Branch 16,NIOS,Punjab,District 464,contact@governmentinternationalbranch16.edu.in,017-1070397
Vivekananda Vidyalaya Branch 19,State Board,Rajasthan,District 340,contact@vivekanandavidyalayabranch19.edu.in,034-6014051
New Era Secondary School Branch 13,CBSE,Sikkim,District 310,contact@newerasecondaryschoolbranch13.edu.in,024-5677359
Saraswati Vidyalaya Branch 25,State Board,Tamil Nadu,District 113,contact@saraswatividyalayabranch25.edu.in,020-5414125
Vidya Mandir Vidyalaya Branch 71,CBSE,Telangana,District 7,contact@vidyamandirvidyalayabranch71.edu.in,068-7084237
Vivekananda Secondary School Branch 98,NIOS,Tripura,District 474,contact@vivekanandasecondaryschoolbranch98.edu.in,097-3092101
Carmel Vidyalaya Branch 46,IGCSE,Uttar Pradesh,District 172,contact@carmelvidyalayabranch46.edu.in,057-5353773
Tagore International Branch 95,NIOS,Uttarakhand,District 4,contact@tagoreinternationalbranch95.edu.in,047-7699673
Carmel Academy Branch 6,ICSE,West Bengal,District 630,contact@carmelacademybranch6.edu.in,083-2735606
Saraswati Convent Branch 28,IGCSE,Andaman and Nicobar Islands,District 472,contact@saraswaticonventbranch28.edu.in,030-6360300
Greenwood Public School Branch 20,IGCSE,Chandigarh,District 679,contact@greenwoodpublicschoolbranch20.edu.in,036-8368172
Government Primary School Branch 65,NIOS,Dadra and Nagar Haveli,District 632,contact@governmentprimaryschoolbranch65.edu.in,067-9696311
Model International Branch 24,ICSE,Lakshadweep,District 150,contact@modelinternationalbranch24.edu.in,071-8351902
New Era Academy Branch 67,State Board,Delhi,District 189,contact@neweraacademybranch67.edu.in,079-6934657
New Era High School Branch 81,State Board,Puducherry,District 38,contact@newerahighschoolbranch81.edu.in,040-3868076
St. Joseph's Convent Branch 86,NIOS,Ladakh,District 96,contact@stjosephsconventbranch86.edu.in,045-9663421
Heritage Primary School Branch 52,ICSE,Jammu and Kashmir,District 82,contact@heritageprimaryschoolbranch52.edu.in,083-3596925
Government Convent Branch 59,IB,Andhra Pradesh,District 228,contact@governmentconventbranch59.edu.in,020-1265313
Bharatiya Convent Branch 62,CBSE,Arunachal Pradesh,District 402,contact@bharatiyaconventbranch62.edu.in,054-6171261
Global Vidyalaya Branch 72,ICSE,Assam,District 485,contact@globalvidyalayabranch72.edu.in,094-9411936
Vidya Mandir Public School Branch 12,CBSE,Bihar,District 463,contact@vidyamandirpublicschoolbranch12.edu.in,053-2903606
Adarsh Primary School Branch 7,NIOS,Chhattisgarh,District 685,contact@adarshprimaryschoolbranch7.edu.in,031-4280940
Adarsh Academy Branch 31,CBSE,Goa,District 627,contact@adarshacademybranch31.edu.in,025-8407973
New Era Primary School Branch 56,ICSE,Gujarat,District 445,contact@neweraprimaryschoolbranch56.edu.in,019-3772139
Global Academy Branch 47,ICSE,Haryana,District 107,contact@globalacademybranch47.edu.in,099-4318671
Government Convent Branch 76,IB,Himachal Pradesh,District 262,contact@governmentconventbranch76.edu.in,073-1630879
New Era Primary School Branch 30,IGCSE,Jharkhand,District 666,contact@neweraprimaryschoolbranch30.edu.in,027-3798199
Adarsh Primary School Branch 56,NIOS,Karnataka,District 674,contact@adarshprimaryschoolbranch56.edu.in,051-8689236
Navodaya Primary School Branch 73,ICSE,Kerala,District 431,contact@navodayaprimaryschoolbranch73.edu.in,029-5582549
Greenwood Convent Branch 21,CBSE,Madhya Pradesh,District 505,contact@greenwoodconventbranch21.edu.in,031-4339324
Greenwood Primary School Branch 38,NIOS,Maharashtra,District 274,contact@greenwoodprimaryschoolbranch38.edu.in,091-1578706
Navodaya Convent Branch 88,CBSE,Manipur,District 134,contact@navodayaconventbranch88.edu.in,057-1412072
Bharatiya Secondary School Branch 95,State Board,Meghalaya,District 27,contact@bharatiyasecondaryschoolbranch95.edu.in,025-9970117
Vivekananda Vidyalaya Branch 66,State Board,Mizoram,District 145,contact@vivekanandavidyalayabranch66.edu.in,098-4573879
Tagore Convent Branch 30,IGCSE,Nagaland,District 129,contact@tagoreconventbranch30.edu.in,055-4796985
KV Academy Branch 86,IB,Odisha,District 601,contact@kvacademybranch86.edu.in,058-3209071
Bharatiya Primary School Branch 86,CBSE,Punjab,District 60,contact@bharatiyaprimaryschoolbranch86.edu.in,036-2443971
Adarsh Secondary School Branch 7,IGCSE,Rajasthan,District 515,contact@adarshsecondaryschoolbranch7.edu.in,031-8064921
Army Secondary School Branch 13,IGCSE,Sikkim,District 174,contact@armysecondaryschoolbranch13.edu.in,023-3943292
Navodaya High School Branch 6,NIOS,Tamil Nadu,District 396,contact@navodayahighschoolbranch6.edu.in,016-5044972
Global Secondary School Branch 89,NIOS,Telangana,District 146,contact@globalsecondaryschoolbranch89.edu.in,055-6962671
New Era Vidyalaya Branch 43,State Board,Tripura,District 169,contact@neweravidyalayabranch43.edu.in,037-9489988
Heritage Academy Branch 44,IB,Uttar Pradesh,District 158,contact@heritageacademybranch44.edu.in,040-6494614
New Era International Branch 12,IB,Uttarakhand,District 491,contact@newerainternationalbranch12.edu.in,085-2299991
Heritage Primary School Branch 13,State Board,West Bengal,District 595,contact@heritageprimaryschoolbranch13.edu.in,066-1191280
Vidya Mandir Academy Branch 63,CBSE,Andaman and Nicobar Islands,District 623,contact@vidyamandiracademybranch63.edu.in,097-8674572
Government Primary School Branch 33,ICSE,Chandigarh,District 495,contact@governmentprimaryschoolbranch33.edu.in,030-3635209
Saraswati Convent Branch 14,NIOS,Dadra and Nagar Haveli,District 417,contact@saraswaticonventbranch14.edu.in,085-9787834
Global Vidyalaya Branch 28,IB,Lakshadweep,District 48,contact@globalvidyalayabranch28.edu.in,036-9444282
Global Convent Branch 25,ICSE,Delhi,District 360,contact@globalconventbranch25.edu.in,091-5692467
Adarsh High School Branch 31,CBSE,Puducherry,District 524,contact@adarshhighschoolbranch31.edu.in,039-8786216
Government International Branch 65,NIOS,Ladakh,District 457,contact@governmentinternationalbranch65.edu.in,097-2769393
Army Vidyalaya Branch 72,CBSE,Jammu and Kashmir,District 613,contact@armyvidyalayabranch72.edu.in,085-4260286
Adarsh High School Branch 23,State Board,Andhra Pradesh,District 432,contact@adarshhighschoolbranch23.edu.in,053-7780098
Greenwood Public School Branch 50,ICSE,Arunachal Pradesh,District 199,contact@greenwoodpublicschoolbranch50.edu.in,054-8353117
Greenwood High School Branch 66,IGCSE,Assam,District 698,contact@greenwoodhighschoolbranch66.edu.in,022-3825559
Bharatiya Primary School Branch 45,CBSE,Bihar,District 621,contact@bharatiyaprimaryschoolbranch45.edu.in,073-4251083
Bharatiya Academy Branch 33,IGCSE,Chhattisgarh,District 613,contact@bharatiyaacademybranch33.edu.in,013-9507125
Vivekananda Primary School Branch 56,CBSE,Goa,District 237,contact@vivekanandaprimaryschoolbranch56.edu.in,049-2666565
St. Joseph's Secondary School Branch 36,ICSE,Gujarat,District 548,contact@stjosephssecondaryschoolbranch36.edu.in,067-9154432
St. Joseph's Convent Branch 58,ICSE,Haryana,District 255,contact@stjosephsconventbranch58.edu.in,067-7906052
